self_1,s1,self_2,s2,self_3,s3,self_4,s4,self_5,s5,self_6,s6,self_7,s7,self_8,s8,self_9,s9,self_10,s10
I am a human being.,C,I am a woman/man.,C,I am a parent/child.,R,I am an American/Canadian/British/etc.,C,I am a Democrat/Republican/Independent.,C,I am a Christian/Atheist/Muslim/Agnostic.,C,I am a student/teacher/professor.,C,I am an artist/scientist/engineer.,C,I am a passionate person.,C,I am a person of faith.,C
I am an extrovert.,C,I am a woman.,C,I am a veteran.,C,I am a student.,C,I am a Christian.,C,I am bilingual.,C,I am a runner.,C,I am a business owner.,C,I am a Democrat.,C,I am a musician.,C
I am a son or daughter.,R,I am a friend.,R,I am an artist.,C,I am a student.,C,I am a customer.,C,I am a colleague.,R,I am a teacher.,C,I am a neighbor.,R,I am a partner.,R,I am a citizen.,C
I am a woman,C,I am a Christian,C,I am a surfer,C,I am a student,C,I am a nurse,C,I am a mother,R,I am a dancer,C,I am a soldier,C,I am a motorcyclist,C,I am a scientist,C
I am an American.,C,I am a student.,C,I am a daughter/son.,R,I am a teacher.,C,I am an artist.,C,I am a doctor/nurse.,C,I am a carpenter.,C,I am a librarian.,C,I am a plumber.,C,I am a musician.,C
I am an American.,C,I am a Christian.,C,I am a daughter/son.,R,I am a student.,C,I am a friend.,R,I am a volunteer.,C,I am an artist.,C,I am a musician.,C,I am a writer.,C,I am an athlete.,C
I am a parent.,R,I am a student.,C,I am a friend.,R,I am an employee.,C,I am a manager.,C,I am a musician.,C,I am an artist.,C,I am an athlete.,C,I am a leader.,C,I am a mentor.,C
I am a man/woman.,C,I am a college graduate.,C,I am a parent.,R,I am a native of a particular region or location.,C,I am of a specific ethnic or racial background.,C,I am of a particular religious belief.,C,I am a professional in a certain field.,C,I am married or single.,C,I am a certain age.,C,I am a hobbyist.,C
I am a woman,C,I am a man,C,I am a student,C,I am an artist,C,I am a professional,C,I am an athlete,C,I am a parent,R,I am a teacher,C,I am a volunteer,C,I am a member of a religious group,C
I am a parent.,R,I am a student.,C,I am an artist.,C,I am a musician.,C,I am an athlete.,C,I am a reader.,C,I am a programmer.,C,I am a writer.,C,I am a scientist.,C,I am an entrepreneur.,C
I am a son or daughter.,R,I am a student.,C,I am a friend.,R,I am a colleague.,R,I am a spouse.,R,I am a sister or brother.,R,I am a person of faith.,C,I am an artist.,C,I am an athlete.,C,I am a mentor.,C
I am a human being.,C,I am a female/male.,C,I am a mother/father.,R,I am an artist.,C,I am a scientist.,C,I am an athlete.,C,I am a student.,C,I am a worker.,C,I am a builder.,C,I am a dreamer.,C
I am a son/daughter.,R,I am a sibling.,R,I am a student.,C,I am an employee.,C,I am a friend.,R,I am a parent.,R,I am a lover.,C,I am a neighbor.,R,I am a hobbyist.,C,I am an artist.,C
I am male/female/non-binary,C,I am heterosexual/homosexual/bisexual/asexual/pansexual,C,I am a parent/childless,R,I am an educator/student,C,I am of a certain religion/no religion,C,I am of a certain race/ethnicity,C,I am a certain age,C,I am married/single,C,I am an artist/athlete/writer/musician,C,I am a certain occupation,C
I am a woman.,C,I am a husband.,R,I am a father.,R,I am a son.,R,I am a Christian.,C,I am a Democrat.,C,I am a lawyer.,C,I am an engineer.,C,I am a friend.,R,I am a teacher.,C
I am a student.,C,I am a teacher.,C,I am an artist.,C,I am a lawyer.,C,I am a scientist.,C,I am a musician.,C,I am an athlete.,C,I am a retiree.,C,I am a political activist.,C,I am a business owner.,C
I am a parent.,R,I am a student.,C,I am a teacher.,C,I am a leader.,C,I am a writer.,C,I am an artist.,C,I am a musician.,C,I am a good friend.,R,I am a caring neighbor.,R,I am an advocate.,C
I am a son/daughter.,R,I am a brother/sister.,R,I am a student.,C,I am an employee.,C,I am a Christian.,C,I am a Democrat/Republican/Independent.,C,I am an American.,C,I am a human being.,C,I am a friend.,R,I am an artist.,C
I am a man.,C,I am a woman.,C,I am a parent.,R,I am a student.,C,I am an artist.,C,I am a scientist.,C,I am a teacher.,C,I am an entrepreneur.,C,I am a friend.,R,I am a neighbor.,R
I am a male.,C,I am a female.,C,I am a child.,R,I am a teenager.,C,I am a young adult.,C,I am an adult.,C,I am a student.,C,I am a teacher.,C,"I am Lesbian, Gay, Bisexual, Transgender, or Queer/Questioning (LGBTQ).",C,I am a Christian.,C
I am religious.,C,I am an athlete.,C,I am a student.,C,I am a family member.,R,I am a feminist.,C,I am a musician.,C,I am an artist.,C,I am a computer programmer.,C,I am a teacher.,C,I am an entrepreneur.,C
I am a man.,C,I am a woman.,C,I am an adult.,C,I am a student.,C,I am a parent.,R,I am a teacher.,C,I am an athlete.,C,I am a musician.,C,I am an artist.,C,I am a photographer.,C
I am a student.,C,I am a teacher.,C,I am a parent.,R,I am a professional.,C,I am a friend.,R,I am an artist.,C,I am a musician.,C,I am an athlete.,C,I am a believer.,C,I am a dreamer.,C
I am a woman.,C,I am a man.,C,I am a feminist.,C,I am a Christian.,C,I am an introvert.,C,I am a student.,C,I am a hard worker.,C,I am a political activist.,C,I am an artist.,C,I am a sports fan.,C
I am a woman.,C,I am a mother.,R,I am an American citizen.,C,I am a Christian.,C,I am a Liberal political supporter.,C,I am a veteran.,C,I am a lawyer.,C,I am a Democrat.,C,I am a teacher.,C,I am an immigrant.,C
I am a parent.,R,I am a student.,C,I am a professional.,C,I am an artist.,C,I am a coach.,C,I am a fitness enthusiast.,C,I am a volunteer.,C,I am a religious adherent.,C,I am an explorer.,C,I am an entrepreneur.,C
I am a son/daughter.,R,I am a mother/father.,R,I am a teacher.,C,I am an artist.,C,I am a chef.,C,I am a student.,C,I am an athlete.,C,I am a reader.,C,I am a writer.,C,I am an entrepreneur.,C
I am a woman,C,I am a man,C,I am older,C,I am younger,C,I am married,C,I am single,C,I am a parent,R,I am a student,C,I am an artist,C,I am an athlete,C
I am a son/daughter.,R,I am a mother/father.,R,I am a student.,C,I am a teacher.,C,I am a runner.,C,I am an artist.,C,I am a musician.,C,I am a writer.,C,I am a gamer.,C,I am a religious person.,C
I am a woman,C,I am an African-American,C,I am a student,C,I am an athlete,C,I am an artist,C,I am a father,R,I am a friend,R,I am an entrepreneur,C,I am a gamer,C,I am a vegetarian,C
I am a male.,C,I am an American.,C,I am a Christian.,C,I am a student.,C,I am a redhead.,C,I am an athlete.,C,I am of Asian descent.,C,I am a democrat.,C,I am a business owner.,C,I am a volunteer.,C
I am a Housewife.,C,I am a Student.,C,I am a Professional.,C,I am a Business Owner.,C,I am an Artist.,C,I am a Musician.,C,I am a Traveler.,C,I am a Parent.,R,I am an Environmentalist.,C,I am a Religious Person.,C
I am a woman.,C,I am an artist.,C,I am a college graduate.,C,I am a teacher.,C,I am a business worker.,C,I am a runner.,C,I am a musician.,C,I am a father.,R,I am  a mom.,R,I am a Christian.,C
I am a student.,C,I am a parent.,R,I am a financial advisor.,C,I am an employee.,C,I am a homeowner.,C,I am an athlete.,C,I am a musician.,C,I am a teacher.,C,I am a volunteer.,C,I am an artist.,C
I am an athlete.,C,I am a parent.,R,I am a student.,C,I am a programmer.,C,I am an engineer.,C,I am a musician.,C,I am an artist.,C,I am a writer.,C,I am a teacher.,C,I am a businessperson.,C
I am a son/daughter.,R,I am a brother/sister.,R,I am a student.,C,I am a teacher.,C,I am an artist.,C,I am an athlete.,C,I am a friend.,R,I am a writer.,C,I am a leader.,C,I am a dreamer.,C
I am a son or daughter.,R,I am a friend.,R,I am an artist.,C,I am a sports fan.,C,I am a student.,C,I am a vegan.,C,I am an innovator.,C,I am a citizen.,C,I am a traveler.,C,I am a listener.,C
I am a daughter/son.,R,I am a student.,C,I am a friend.,R,I am a sister/brother.,R,I am a colleague.,R,I am a citizen.,C,I am a musician.,C,I am an athlete.,C,I am an artist.,C,I am a member of a certain religion/spiritual group.,C
I am a female.,C,I am an African-American.,C,I am a college student.,C,I am a Christian.,C,I am a musician.,C,I am an athlete.,C,I am a democrat.,C,I am an environmentalist.,C,I am an artist.,C,I am a foodie.,C
I am a female.,C,I am a Christian.,C,I am a student.,C,I am an athlete.,C,I am a political activist.,C,I am a parent.,R,I am an artist.,C,I am a writer.,C,I am a businessperson.,C,I am a musician.,C
I am an American.,C,I am a father/mother.,R,I am an employee.,C,I am a student.,C,I am an athlete.,C,I am a Christian.,C,I am a Democrat/Republican.,C,I am an artist.,C,I am a scientist.,C,I am a member of a particular race/ethnicity.,C
I am a citizen of the United States,C,I am an African American,C,I am a son/daughter,R,I am a follower of a particular faith,C,I am a student,C,I am a parent,R,I am an employee,C,I am a friend,R,I am a music lover,C,I am a foodie,C
I am a mother.,R,I am a student.,C,I am an athlete.,C,I am a Christian.,C,I am a son.,R,I am a musician.,C,I am a physician.,C,I am a teacher.,C,I am an artist.,C,I am a writer.,C
I am a student.,C,I am a resident of a certain city.,C,I am a sibling of someone.,R,I am a parent to a certain number of children.,R,I am an employee of a particular company.,C,I am a friend of certain people.,R,I am a homeowner.,C,I am an investor in certain companies/ventures/properties.,C,I am a volunteer in different organizations.,C,I am a member of various clubs/communities/causes.,C
I am female.,C,I am a lawyer.,C,I am a mother.,R,I am a college student.,C,I am a church musician.,C,I am a volunteer at a local shelter.,C,I am a writer.,C,I am a retail employee.,C,I am a member of the LGBTQ community.,C,I am an artist.,C
I am male.,C,I am female.,C,I am young.,C,I am old.,C,I am homosexual.,C,I am heterosexual.,C,I am confident.,C,I am every religion.,C,I am an artist.,C,I am a teacher.,C
I am a male.,C,I am a student.,C,I am an adult.,C,I am a bookworm.,C,I am a bisexual.,C,I am an American.,C,I am a musician.,C,I am a Christian.,C,I am a teacher.,C,I am an artist.,C
I am a singer.,C,I am an artist.,C,I am a student.,C,I am a teacher.,C,I am a mother.,R,I am a father.,R,I am a vegan.,C,I am a gamer.,C,I am a homeowner.,C,I am a Writer.,C
I am a man.,C,I am a woman.,C,I am cisgender.,C,I am bisexual.,C,I am African-American.,C,I am a Christian.,C,I am a student.,C,I am a teacher.,C,I am a designer.,C,I am an artist.,C
I am a man/woman/person.,C,I am a son/daughter/child.,R,I am a friend/student/colleague.,R,I am Jewish/Catholic/Muslim.,C,I am a teacher/nurse/lawyer.,C,I am from the United States/England/Canada.,C,I am a sports fan/political enthusiast/ gamer.,C,I am an introvert/extrovert/ambivert.,C,I am a vegetarian/vegan/meat-eater.,C,I am an optimist/pessimist/realist.,C
I am a woman.,C,I am a husband or a wife.,R,I am a parent.,R,I am a Democrat or a Republican.,C,I am a Christian or a follower of another faith.,C,I am a high school or college student.,C,I am a professional.,C,I am a chef or an artist.,C,I am an entrepreneur.,C,I am a fitness enthusiast.,C
I am a student.,C,I am a parent.,R,I am a teacher.,C,I am an artist.,C,I am a writer.,C,I am a friend.,R,I am an environmentalist.,C,I am an athlete.,C,I am a traveler.,C,I am a musician.,C
I am a city-dweller.,C,I am a yoga enthusiast.,C,I am a pet owner.,C,I am an extrovert.,C,I am a student.,C,I am a volunteer.,C,I am an athlete.,C,I am an artist.,C,I am an activist.,C,I am a vegan.,C
I am a mother,R,I am an employee,C,I am a teacher,C,I am an entrepreneur,C,I am a student,C,I am a friend,R,I am a daughter,R,I am an artist,C,I am a religious person,C,I am a homeowner,C
I am a son/daughter.,R,I am a student.,C,I am a teacher.,C,I am a parent.,R,I am a musician/artist.,C,I am a businessman/businesswoman.,C,I am a chef.,C,I am a sports fan.,C,I am an activist.,C,I am a hobbyist.,C
I am a student.,C,I am a daughter/son.,R,I am a sibling.,R,I am a friend.,R,I am an American.,C,I am an artist.,C,I am a Christian.,C,I am an athlete.,C,I am a musician.,C,I am a volunteer.,C
I am a man.,C,I am a woman.,C,I am a student.,C,I am an artist.,C,I am a teacher.,C,I am an activist.,C,I am a parent.,R,I am a gamer.,C,I am a professional.,C,I am an entrepreneur.,C
I am a woman.,C,I am a mother.,R,I am a sister.,R,I am a daughter.,R,I am a Christian.,C,I am an American.,C,I am a college student.,C,I am a nurse.,C,I am a photographer.,C,I am an entrepreneur.,C
I am a student,C,I am a mother,R,I am a daughter,R,I am a friend,R,I am a singer,C,I am a runner,C,I am an author,C,I am an artist,C,I am a scientist,C,I am an entrepreneur,C
I am a woman,C,I am an artist,C,I am an athlete,C,I am a creator,C,I am a son,R,I am a father,R,I am a traveler,C,I am a student,C,I am a professional,C,I am a teacher,C
I am an individual.,C,I am a student.,C,I am a father/mother.,R,I am a friend.,R,I am a colleague.,R,I am a volunteer.,C,I am a leader.,C,I am a colleague.,R,I am an activist.,C,I am a citizen.,C
I am a person who likes to help others,C,I am a creative thinker,C,I am a loyal friend,R,I am an animal lover,C,I am a dedicated worker,C,I am someone who loves learning,C,I am a dreamer,C,I am a positive and optimistic person,C,I am an independent individual,C,I am empathetic and compassionate,C
I am male.,C,I am female.,C,I am an American Citizen.,C,I am a Christian.,C,I am heterosexual.,C,I am of Asian descent.,C,I am an artist.,C,I am a parent.,R,I am a college graduate.,C,I am a student.,C
I am a female.,C,I am a traveler.,C,I am a businessperson.,C,I am a historian.,C,I am an artist.,C,I am a student.,C,I am a professor.,C,I am an environmentalist.,C,I am a musician.,C,I am a religious person.,C
I am male,C,I am female,C,I am straight,C,I am LGBTQ+,C,I am Christian,C,I am Muslim,C,I am Hindu,C,I am young,C,I am old,C,I am American,C
I am a male,C,I am a Christian,C,I am single,C,I am a student,C,I am an American,C,I am an extrovert,C,I am a dog lover,C,I am a fan of rock music,C,I am an avid reader,C,I am a basketball fan,C
I am a son.,R,I am a daughter.,R,I am a husband.,R,I am a wife.,R,I am a student.,C,I am an employee.,C,I am a Christian.,C,I am a Muslim.,C,I am a Democrat.,C,I am a Republican.,C
I am a woman.,C,I am a mother.,R,I am a Christian.,C,I am a professional.,C,I am a student.,C,I am a chemist.,C,I am an activist.,C,I am an entrepreneur.,C,I am a veteran.,C,I am a creative.,C
I am a daughter.,R,I am a sister.,R,I am a student.,C,I am a Christian.,C,I am a teacher.,C,I am an artist.,C,I am an athlete.,C,I am a gamer.,C,I am an environmentalist.,C,I am a musician.,C
I am a young person.,C,I am an introvert.,C,I am an American.,C,I am a Christian.,C,I am a student.,C,I am a parent.,R,I am an artist.,C,I am an athlete.,C,I am a libertarian.,C,I am a scientist.,C
I am male.,C,I am Christian.,C,I am a father.,R,I am a college graduate.,C,I am a musician.,C,I am an entrepreneur.,C,I am an avid reader.,C,I am a philanthropist.,C,I am an artist.,C,I am a healthcare worker.,C
I am a daughter/son.,R,I am a student.,C,I am a nurse/doctor.,C,I am an employee.,C,I am a consumer.,C,I am an artist.,C,I am an entrepreneur.,C,I am a cat/dog owner.,C,I am a hobbyist.,C,I am a volunteer.,C
I am an average person.,C,I am a student.,C,I am a family member.,R,I am a friend.,R,I am a leader.,C,I am an employee.,C,I am a volunteer.,C,I am a resident.,C,I am a resident of a certain community.,C,I am a member of an organization.,C
I am a student.,C,I am a parent.,R,I am an employee.,C,I am a friend.,R,I am a sister/brother.,R,I am of a particular race or ethnicity.,C,I am of a particular religious faith.,C,I am a volunteer.,C,I am a mentor.,C,I am a political activist.,C
I am a son / daughter.,R,I am an artist.,C,I am a student.,C,I am a friend.,R,I am a hobbyist.,C,I am a musician.,C,I am a sports fan.,C,I am a traveler.,C,I am a professional.,C,I am a volunteer.,C
I am an artist,C,I am a researcher,C,I am a musician,C,I am a parent,R,I am an activist,C,I am a student,C,I am a teacher,C,I am an entrepreneur,C,I am an athlete,C,I am a writer,C
I am a wife.,R,I am a mother.,R,I am an artist.,C,I am a daughter.,R,I am a sister.,R,I am an activist.,C,I am a musician.,C,I am a student.,C,I am a colleague.,R,I am a friend.,R
I am a mother/father,R,I am a student,C,I am a worker,C,I am an engineer,C,I am an artist,C,I am a writer,C,I am a dancer,C,I am a singer,C,I am a teacher,C,I am a programmer,C
I am a father/mother.,R,I am a sister/brother.,R,I am a wife/husband.,R,I am an athlete.,C,I am a writer.,C,I am a scientist.,C,I am an artist.,C,I am a student.,C,I am a musician.,C,I am a teacher.,C
I am a woman.,C,I am a man.,C,I am a student.,C,I am an employee.,C,I am a mother.,R,I am a father.,R,I am a sibling.,R,I am a friend.,R,I am a partner.,R,I am a Christian.,C
I am a young adult.,C,I am a female.,C,I am an artist.,C,I am an atheist.,C,I am a student.,C,I am from the Midwest.,C,I am a runner.,C,I am a vegetarian.,C,I am an extrovert.,C,I am a Democrat.,C
I am a man.,C,I am an American.,C,I am a father.,R,I am a husband.,R,I am a Christian.,C,I am an employee.,C,I am a writer.,C,I am an athlete.,C,I am a teacher.,C,I am a friend.,R
I am male,C,I am a son,R,I am an athlete,C,I am a student,C,I am a friend,R,I am a Christian,C,I am a music lover,C,I am a volunteer,C,I am a teacher,C,I am a reader,C
I am a daughter/son.,R,I am a student.,C,I am a friend.,R,I am a cook.,C,I am an athlete.,C,I am a traveler.,C,I am an artist.,C,I am a volunteer.,C,I am a listener.,C,I am a writer.,C
I am a son or daughter.,R,I am a student.,C,I am a worker.,C,I am a friend.,R,I am a member of a religious group.,C,I am a citizen of a country.,C,I am a neighbor.,R,I am a hobbyist.,C,I am an athlete.,C,I am a volunteer.,C
I am a 23 year old female.,C,I am a student.,C,I am a dog lover.,C,I am a vegetarian.,C,I am the oldest of three children.,R,I am a professional dancer.,C,I am a computer programmer.,C,I am a runner.,C,I am a music enthusiast.,C,I am a Christian.,C
I am a male.,C,I am a female.,C,I am a son.,R,I am a daughter.,R,I am a Christian.,C,I am a student.,C,I am a teacher.,C,I am a nurse.,C,I am a business person.,C,I am an artist.,C
I am a woman.,C,I am a man.,C,I am young.,C,I am old.,C,I am married.,C,I am single.,C,I am a parent.,R,I am a student.,C,I am a professional.,C,I am religious.,C
I am a male.,C,I am an introvert.,C,I am left-handed.,C,I am a father.,R,I am a Christian.,C,I am a teacher.,C,I am a writer.,C,I am a college graduate.,C,I am a homeowner.,C,I am an athlete.,C
I am a mother.,R,I am a restaurant manager.,C,I am a teacher.,C,I am a musician.,C,I am a programmer.,C,I am a student.,C,I am a Christian.,C,I am a Democrat.,C,I am a basketball player.,C,I am a poet.,C
I am an American citizen.,C,I am a daughter/son.,R,I am a student.,C,I am a friend.,R,I am a pet owner.,C,I am a musician.,C,I am an employee.,C,I am a runner.,C,I am a fan of a particular sports team.,C,I am a member of a political party.,C
I am male.,C,I am female.,C,I am an American.,C,I am a Christian.,C,I am a parent.,R,I am a college student.,C,I am an artist.,C,I am a business professional.,C,I am a teacher.,C,I am a runner.,C
I am a woman.,C,I am an optimist.,C,I am a Christian.,C,I am an introvert.,C,I am a musician.,C,I am a student.,C,I am an athlete.,C,I am a lover of animals.,C,I am a traveler.,C,I am a writer.,C
I am a man.,C,I am a woman.,C,I am a Christian.,C,I am a teacher.,C,I am a student.,C,I am an artist.,C,I am a musician.,C,I am a parent.,R,I am a athlete.,C,I am a friend.,R
I am a son/daughter.,R,I am a friend.,R,I am an employee.,C,I am a student.,C,I am a leader.,C,I am a parent.,R,I am a neighbor.,R,I am a volunteer.,C,I am a teacher.,C,I am a Christian.,C
I am a student.,C,I am an artist.,C,I am a parent.,R,I am an activist.,C,I am a musician.,C,I am a writer.,C,I am an intellectual.,C,I am a traveler.,C,I am a mentor.,C,I am a teacher.,C
I am a woman.,C,I am an American.,C,I am a Christian.,C,I am a conservative.,C,I am an artist.,C,I am a writer.,C,I am a college student.,C,I am a mother.,R,I am a runner.,C,I am a chef.,C
I am a parent.,R,I am female.,C,I am a college student.,C,I am an athlete.,C,I am a gamer.,C,I am a Christian.,C,I am a musician.,C,I am an artist.,C,I am a writer.,C,I am a business owner.,C
I am a woman.,C,I am an artist.,C,I am a student.,C,I am a teacher.,C,I am a parent.,R,I am a musician.,C,I am a writer.,C,I am athletically inclined.,C,I am a skeptic.,C,I am an environmentalist.,C
I am an artist,C,I am a teacher,C,I am a student,C,I am a mother,R,I am a father,R,I am a friend,R,I am a neighbor,R,I am a coach,C,I am a writer,C,I am a volunteer,C
I am an artist.,C,I am a musician.,C,I am a teacher.,C,I am an engineer.,C,I am a student.,C,I am a athlete.,C,I am a cook.,C,I am a business owner.,C,I am a nurse.,C,I am a programmer.,C
I am a male.,C,I am a female.,C,I am an adult.,C,I am a senior citizen.,C,I am single.,C,I am married.,C,I am a Democrat.,C,I am a Republican.,C,I am a professional.,C,I am a student.,C
I am a daughter / son.,R,I am a student.,C,I am an employee.,C,I am a volunteer.,C,I am an artist.,C,I am a sibling.,R,I am a member of a religion.,C,I am a member of a political party.,C,I am a sports fan.,C,I am a gamer.,C
I am a woman.,C,I am a Christian.,C,I am an American.,C,I am a college student.,C,I am a millennial.,C,I am Hispanic.,C,I am a daughter.,R,I am a teacher.,C,I am a friend.,R,I am a Brooklynite.,C
I am an artist.,C,I am adventurous.,C,I am a student.,C,I am an active listener.,C,I am an athlete.,C,I am an optimist.,C,I am an animal lover.,C,I am goal-oriented.,C,I am open-minded.,C,I am creative.,C
I am a woman.,C,I am a Christian.,C,I am a college student.,C,I am a Republican.,C,I am a runner.,C,I am a student of history.,C,I am a musician.,C,I am an artist.,C,I am a teacher.,C,I am a programmer.,C
I am a father.,R,I am a daughter.,R,I am an entrepreneur.,C,I am a student.,C,I am a friend.,R,I am an athlete.,C,I am a musician.,C,I am a doctor.,C,I am an artist.,C,I am a teacher.,C
I am a parent.,R,I am a student.,C,I am a teacher.,C,I am an employee.,C,I am a volunteer.,C,I am a friend.,R,I am a leader.,C,I am a sibling.,R,I am an artist.,C,I am a dreamer.,C
I am a student.,C,I am a daughter.,R,I am a son.,R,I am an athlete.,C,I am a musician.,C,I am a friend.,R,I am a city resident.,C,I am an employee.,C,I am a mentor.,C,I am a volunteer.,C
I am a father.,R,I am an American.,C,I am a teacher.,C,I am a Christian.,C,I am an artist.,C,I am a singer.,C,I am a student.,C,I am an entrepreneur.,C,I am a volunteer.,C,I am a gardener.,C
I am an artist.,C,I am a student.,C,I am a Catholic.,C,I am a teacher.,C,I am a musician.,C,I am vegan.,C,I am a parent.,R,I am an entrepreneur.,C,I am an athlete.,C,I am a friend.,R
I am a son/daughter.,R,I am a student.,C,I am an employee.,C,I am a friend.,R,I am a husband/wife.,R,I am a colleague.,R,I am a member of a political party.,C,I am a member of a religious group.,C,I am a citizen of a certain country.,C,I am a fan of a certain sports team.,C
I am a mother.,R,I am an artist.,C,I am a teacher.,C,I am a student.,C,I am an entrepreneur.,C,I am a singer.,C,I am a writer.,C,I am a rugby player.,C,I am a carpenter.,C,I am a dancer.,C
I am a son/daughter.,R,I am a sister/brother.,R,I am an aunt/uncle.,R,I am a student.,C,I am a musician.,C,I am a sports fan.,C,I am a gamer.,C,I am a member of a religious group.,C,I am a teacher.,C,I am an artist.,C
I am an athlete.,C,I am a musician.,C,I am an artist.,C,I am a student.,C,I am a traveler.,C,I am a teacher.,C,I am a parent.,R,I am a scientist.,C,I am a writer.,C,I am a volunteer.,C
I am a man.,C,I am a woman.,C,I am a student.,C,I am an athlete.,C,I am a professional.,C,I am a stay-at-home parent.,C,I am an artist.,C,I am a musician.,C,I am an entrepreneur.,C,I am a member of a faith community.,C
I am a person.,C,I am a student.,C,I am an employee.,C,I am a parent.,R,I am a consumer.,C,I am an activist.,C,I am a traveler.,C,I am a hobbyist.,C,I am an artist.,C,I am an athlete.,C
I am a daughter/son.,R,I am a sister/brother.,R,I am a mother/father.,R,I am a friend.,R,I am a teacher/student.,C,I am an employee/employer.,C,I am a writer/artist.,C,I am a businessperson.,C,I am a traveler.,C,I am a member of a club/organization.,C
I am a son/daughter,R,I am an individual,C,I am a student,C,I am a worker,C,I am a friend,R,I am a sibling,R,I am an athlete,C,I am a human,C,I am a volunteer,C,I am a leader,C
I am a student.,C,I am from the Midwest.,C,I am an athlete.,C,I am a woman.,C,I am a musician.,C,I am a parent.,R,I am a member of a particular religious group.,C,I am an artist.,C,I am a member of a particular ethnic group.,C,I am a volunteer.,C
I am a daughter.,R,I am a son.,R,I am a sibling.,R,I am a student.,C,I am a renter.,C,I am a member of a religious group.,C,I am a veteran.,C,I am a volunteer.,C,I am a pet owner.,C,I am a computer programmer.,C
I am a brother.,R,I am a daughter.,R,I am a student.,C,I am a friend.,R,I am an athlete.,C,I am a programmer.,C,I am an artist.,C,I am a muscian.,C,I am a pet owner.,C,I am a lover of nature.,C
"I am a son, daughter, or sibling.",R,I am an employee or employer.,C,I am a student or scholar.,C,"I am a parent, aunt, or uncle.",R,I am a citizen or resident of a certain country.,C,"I am an artist, writer, or musician.",C,"I am a scientist, engineer, or technician.",C,I am a member of a certain ethnic or religious group.,C,I am a member of a particular political group or party.,C,"I am a lover of a certain activity, sport, or hobby.",C
I am an artist.,C,I am a student.,C,I am an athlete.,C,I am a musician.,C,I am a scientist.,C,I am a carpenter.,C,I am a chef.,C,I am a volunteer.,C,I am a lawyer.,C,I am a hobbyist.,C
I am a woman,C,I am a cisgender female,C,I am Christian,C,I am a mother,R,I am a college student,C,I am a Democrat,C,I am a marathon runner,C,I am a volunteer,C,I am a member of Jaycees,C,I am a teacher,C
I am an American.,C,I am a Christian.,C,I am an artist.,C,I am a liberal.,C,I am a biologist.,C,I am a musician.,C,I am an athlete.,C,I am a programmer.,C,I am a writer.,C,I am a parent.,R
I am a woman.,C,I am a friend.,R,I am a dreamer.,C,I am an American.,C,I am a member of a particular faith.,C,I am a traveler.,C,I am a competitive athlete.,C,I am an artist.,C,I am a student.,C,I am a professional.,C
I am a husband.,R,I am a father.,R,I am a brother.,R,I am an artist.,C,I am a sailor.,C,I am a writer.,C,I am a teacher.,C,I am a student.,C,I am a lawyer.,C,I am a gamer.,C
I am a parent.,R,I am a teacher.,C,I am an artist.,C,I am a student.,C,I am a writer.,C,I am a doctor.,C,I am a musician.,C,I am a programmer.,C,I am an athlete.,C,I am a gardener.,C
I am female.,C,I am an adult.,C,I am a citizen of the United States.,C,I am a Christian.,C,I am college-educated.,C,I am left-handed.,C,I am an artist.,C,I am a golfer.,C,I am an athlete.,C,I am a writer.,C
I am a male.,C,I am a Christian.,C,I am a college student.,C,I am African American.,C,I am an artist.,C,I am a writer.,C,I am single.,C,I am an eldest child.,R,I am a sports fan.,C,I am an avid reader.,C
I am a woman.,C,I am an American.,C,I am a Muscovite.,C,I am Christian.,C,I am a teacher.,C,I am a parent.,R,I am an entrepreneur.,C,I am an artist.,C,I am a student.,C,I am a dog lover.,C
I am a mother,R,I am an employee,C,I am a friend,R,I am a student,C,I am a female,C,I am a sister,R,I am a member of my community,C,I am of a certain faith,C,I am a voter,C,I am an artist,C
I am an individual.,C,I am a human.,C,I am a woman/man.,C,I am a parent.,R,I am a friend.,R,I am an employee.,C,I am a student.,C,I am a member of a certain group.,C,I am a neighbor.,R,I am a volunteer.,C
I am a father,R,I am a daughter,R,I am an athlete,C,I am a musician,C,I am a student,C,I am a teacher,C,I am a friend,R,I am a leader,C,I am a volunteer,C,I am an individual,C
I am a son/daughter,R,I am a student,C,I am an athlete,C,I am an artist,C,I am a teacher,C,I am a soldier,C,I am a writer,C,I am a friend,R,I am an entrepreneur,C,I am a musician,C
I am a woman.,C,I am a father.,R,I am a student.,C,I am an artist.,C,I am a programmer.,C,I am a teacher.,C,I am a novelist.,C,I am a boxer.,C,I am a cook.,C,I am a musician.,C
I am a female.,C,I am an average sized man.,C,I am a college educated person.,C,I am a middle-class American.,C,I am a Christian.,C,I am a parent of two children.,R,I am a business owner.,C,I am a person of color.,C,I am a senior citizen.,C,I am outgoing and friendly.,C
I am a gender.,C,I am a professional.,C,I am a friend.,R,I am a citizen.,C,I am a parent.,R,I am a student.,C,I am an artist.,C,I am a religious practitioner.,C,I am a volunteer.,C,I am a traveler.,C
I am a human.,C,I am female.,C,I am a student.,C,I am ambitious.,C,I am creative.,C,I am a mother.,R,I am an artist.,C,I am an entrepreneur.,C,I am a leader.,C,I am an athlete.,C
